Icon,Name,Description,SP,Badge Color
,Panic Ploy 2,"At start of turn, converts bonuses on foes in cardinal directions with HP ≤ unit's HP-3 into penalties through their next actions.",120,
,Panic Ploy 3,"At start of turn, converts bonuses on foes in cardinal directions with HP < unit's HP into penalties through their next actions.",240,
,Pegasus Flight 1,"At start of combat, if unit's Spd ≥ foe's Spd-7, inflicts penalty on foe's Atk/Def during combat = 30% of difference between Res stats (unit’s Res minus foe’s Res) before combat. (Maximum penalty of -3.)",60,
,Pegasus Flight 2,"At start of combat, if unit's Spd ≥ foe's Spd-7, inflicts penalty on foe's Atk/Def during combat = 40% of difference between Res stats (unit’s Res minus foe’s Res) before combat. (Maximum penalty of -5.)",120,
,Pegasus Flight 3,"At start of combat, if unit's Spd ≥ foe's Spd-7, inflicts penalty on foe's Atk/Def during combat = 50% of difference between Res stats (unit’s Res minus foe’s Res) before combat. (Maximum penalty of -7.)",240,
,Phantom Res 1,"If a skill compares unit's Res to a foe's or ally's Res, treats unit's Res as if granted +5.",50,
,Phantom Res 2,"If a skill compares unit's Res to a foe's or ally's Res, treats unit's Res as if granted +8.",100,
,Phantom Res 3,"If a skill compares unit's Res to a foe's or ally's Res, treats unit's Res as if granted +10.",200,
,Phantom Spd 1,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +5.",50,
,Phantom Spd 2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +8.",100,
,Phantom Spd 3,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +10.",200,
,Poison Strike 1,"If unit initiates combat, deals 4 damage to foe after combat.",60,
,Poison Strike 2,"If unit initiates combat, deals 7 damage to foe after combat.",120,
,Poison Strike 3,"If unit initiates combat, deals 10 damage to foe after combat.",240,
,Quick Riposte 1,"If unit's HP ≥ 90% and foe initiates combat, unit makes a guaranteed follow-up attack.",60,
,Quick Riposte 2,"If unit's HP ≥ 80% and foe initiates combat, unit makes a guaranteed follow-up attack.",120,
,Quick Riposte 3,"If unit's HP ≥ 70% and foe initiates combat, unit makes a guaranteed follow-up attack.",240,
,Quickened Pulse,"At the start of turn 1, grants Special cooldown count-1.",100,
,Renewal 1,"At the start of every fourth turn, restores 10 HP.",60,
,Renewal 2,"At the start of every third turn, restores 10 HP.",120,
,Renewal 3,"At start of odd-numbered turns, restores 10 HP.",240,
,Res Feint 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Res-3 on foes in cardinal directions of unit through their next actions.",60,
,Res Feint 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Res-5 on foes in cardinal directions of unit through their next actions.",120,
,Res Feint 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Res-7 on foes in cardinal directions of unit through their next actions.",240,
,Res Opening 1,"At start of turn, grants Res+2 to ally with the highest Res for 1 turn. (Excludes unit.)",60,
,Res Opening 2,"At start of turn, grants Res+4 to ally with the highest Res for 1 turn. (Excludes unit.)",120,
,Res Opening 3,"At start of turn, grants Res+6 to ally with the highest Res for 1 turn. (Excludes unit.)",240,
,Res Ploy 1,"At start of turn, inflicts Res-3 on foes in cardinal directions with Res < unit's Res through their next actions.",60,
,Res Ploy 2,"At start of turn, inflicts Res-4 on foes in cardinal directions with Res < unit's Res through their next actions.",120,
,Res Ploy 3,"At start of turn, inflicts Res-5 on foes in cardinal directions with Res < unit's Res through their next actions.",240,
,Res Tactic 1,"At start of turn, grants Res+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",60,
,Res Tactic 2,"At start of turn, grants Res+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",120,
,Res Tactic 3,"At start of turn, grants Res+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",240,
,Resistance +1,Grants Res+1.,30,
,Resistance +2,Grants Res+2.,60,
,Resistance +3,Grants Res+3.,120,
,Rouse Atk/Def 1,"At start of turn, if unit is not adjacent to an ally, grants Atk/Def+2 to unit for 1 turn.",60,
,Rouse Atk/Def 2,"At start of turn, if unit is not adjacent to an ally, grants Atk/Def+4 to unit for 1 turn.",120,
,Rouse Atk/Def 3,"At start of turn, if unit is not adjacent to an ally, grants Atk/Def+6 to unit for 1 turn.",240,
,Rouse Atk/Spd 1,"At start of turn, if unit is not adjacent to an ally, grants Atk/Spd+2 to unit for 1 turn.",60,
,Rouse Atk/Spd 2,"At start of turn, if unit is not adjacent to an ally, grants Atk/Spd+4 to unit for 1 turn.",120,
,Rouse Atk/Spd 3,"At start of turn, if unit is not adjacent to an ally, grants Atk/Spd+6 to unit for 1 turn.",240,
,Rouse Def/Res 1,"At start of turn, if unit is not adjacent to an ally, grants Def/Res+2 to unit for 1 turn.",60,
,Rouse Def/Res 2,"At start of turn, if unit is not adjacent to an ally, grants Def/Res+4 to unit for 1 turn.",120,
,Rouse Def/Res 3,"At start of turn, if unit is not adjacent to an ally, grants Def/Res+6 to unit for 1 turn.",240,
,Rouse Spd/Def 1,"At start of turn, if unit is not adjacent to an ally, grants Spd/Def+2 to unit for 1 turn.",60,
,Rouse Spd/Def 2,"At start of turn, if unit is not adjacent to an ally, grants Spd/Def+4 to unit for 1 turn.",120,
,Rouse Spd/Def 3,"At start of turn, if unit is not adjacent to an ally, grants Spd/Def+6 to unit for 1 turn.",240,
,Savage Blow 1,"If unit initiates combat, deals 3 damage to foes within 2 spaces of target after combat.",50,
,Savage Blow 2,"If unit initiates combat, deals 5 damage to foes within 2 spaces of target after combat.",100,
,Savage Blow 3,"If unit initiates combat, deals 7 damage to foes within 2 spaces of target after combat.",200,
,Seal Atk 1,Inflicts Atk-3 on foe through its next action after combat.,40,
,Seal Atk 2,Inflicts Atk-5 on foe through its next action after combat.,80,
,Seal Atk 3,Inflicts Atk-7 on foe through its next action after combat.,160,
,Seal Spd 1,Inflicts Spd-3 on foe through its next action after combat.,40,
,Seal Spd 2,Inflicts Spd-5 on foe through its next action after combat.,80,
,Seal Spd 3,Inflicts Spd-7 on foe through its next action after combat.,160,
,Shield Session 1,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 3 - number of foes who have already acted (min value of 1).",60,
,Shield Session 2,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 6 - number of foes who have already acted × 2 (min value of 2).",120,
,Shield Session 3,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 9 - number of foes who have already acted × 3 (min value of 3).",240,
,Slick Fighter 1,"If unit's HP ≥ 75% and foe initiates combat, neutralizes penalties on unit during combat and unit makes a guaranteed follow-up attack.",60,
,Slick Fighter 2,"If unit's HP ≥ 50% and foe initiates combat, neutralizes penalties on unit during combat and unit makes a guaranteed follow-up attack.",120,
,Slick Fighter 3,"If unit's HP ≥ 25% and foe initiates combat, neutralizes penalties on unit during combat and unit makes a guaranteed follow-up attack.",240,
,Solid Ground 1,Grants Atk/Def+3. Inflicts Res-3.,50,
,Solid Ground 2,Grants Atk/Def+4. Inflicts Res-4.,100,
,Solid Ground 3,Grants Atk/Def+5. Inflicts Res-5.,200,
,Sorcery Blade 1,"At start of combat, if unit's HP = 100% and unit is adjacent to a magic ally, calculates damage using the lower of foe's Def or Res.",60,
,Sorcery Blade 2,"At start of combat, if unit's HP ≥ 50% and unit is adjacent to a magic ally, calculates damage using the lower of foe's Def or Res.",120,
,Sorcery Blade 3,"At start of combat, if unit is adjacent to a magic ally, calculates damage using the lower of foe's Def or Res.",240,
,Spd Feint 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd-3 on foes in cardinal directions of unit through their next actions.",60,
,Spd Feint 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd-5 on foes in cardinal directions of unit through their next actions.",120,
,Spd Feint 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd-7 on foes in cardinal directions of unit through their next actions.",240,
,Spd Opening 1,"At start of turn, grants Spd+2 to ally with the highest Spd for 1 turn. (Excludes unit.)",60,
,Spd Opening 2,"At start of turn, grants Spd+4 to ally with the highest Spd for 1 turn. (Excludes unit.)",120,
,Spd Opening 3,"At start of turn, grants Spd+6 to ally with the highest Spd for 1 turn. (Excludes unit.)",240,
,Spd Ploy 1,"At start of turn, inflicts Spd-3 on foes in cardinal directions with Res < unit's Res through their next actions.",60,
,Spd Ploy 2,"At start of turn, inflicts Spd-4 on foes in cardinal directions with Res < unit's Res through their next actions.",120,
,Spd Ploy 3,"At start of turn, inflicts Spd-5 on foes in cardinal directions with Res < unit's Res through their next actions.",240,
,Spd Smoke 1,Inflicts Spd-3 on foes within 2 spaces of target through their next actions after combat.,60,
,Spd Smoke 2,Inflicts Spd-5 on foes within 2 spaces of target through their next actions after combat.,120,
,Spd Smoke 3,Inflicts Spd-7 on foes within 2 spaces of target through their next actions after combat.,240,
,Spd Tactic 1,"At start of turn, grants Spd+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",60,
,Spd Tactic 2,"At start of turn, grants Spd+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",120,
,Spd Tactic 3,"At start of turn, grants Spd+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",240,
,Spd/Def 1,Grants Spd/Def+1.,80,
,Spd/Def 2,Grants Spd/Def+2.,160,
,Spd/Def Bond 1,"If unit is adjacent to an ally, grants Spd/Def+3 during combat.",60,
,Spd/Def Bond 2,"If unit is adjacent to an ally, grants Spd/Def+4 during combat.",120,
,Spd/Def Bond 3,"If unit is adjacent to an ally, grants Spd/Def+5 during combat.",240,
,Spd/Def Catch 1,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Spd/Def+3 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60,
,Spd/Def Catch 2,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Spd/Def+4 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120,
,Spd/Def Catch 3,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Spd/Def+5 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240,
,Spd/Def Clash 1,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Spd/Def during combat = X + 1. (X = number of spaces from start position to end position of whoever initiated combat; max 1.)",60,
,Spd/Def Clash 2,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Spd/Def during combat = X + 3. (X = number of spaces from start position to end position of whoever initiated combat; max 2.)",120,
,Spd/Def Clash 3,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Spd/Def during combat = X + 5. (X = number of spaces from start position to end position of whoever initiated combat; max 3.)",240,
,Spd/Def Form 1,"If unit is within 2 spaces of an ally, grants Spd/Def+X to unit during combat (X = number of allies within 2 spaces; max 3).",60,
,Spd/Def Form 2,"If unit is within 2 spaces of an ally, grants Spd/Def+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120,
,Spd/Def Form 3,"If unit is within 2 spaces of an ally, grants Spd/Def+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240,
,Spd/Def Ideal 1,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Spd/Def+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Spd/Def Ideal 2,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Spd/Def+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Spd/Def Ideal 3,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Spd/Def+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Spd/Def Oath 1,"At start of turn, if unit is adjacent to an ally, grants Spd/Def+3 to unit for 1 turn.",60,
,Spd/Def Oath 2,"At start of turn, if unit is adjacent to an ally, grants Spd/Def+4 to unit for 1 turn.",120,
,Spd/Def Oath 3,"At start of turn, if unit is adjacent to an ally, grants Spd/Def+5 to unit for 1 turn.",240,
,Spd/Def Rein 1,Inflicts Spd/Def-2 on foes within 2 spaces during combat.,60,
,Spd/Def Rein 2,Inflicts Spd/Def-3 on foes within 2 spaces during combat.,120,
,Spd/Def Rein 3,Inflicts Spd/Def-4 on foes within 2 spaces during combat.,240,
,Spd/Def Solo 1,"If unit is not adjacent to an ally, grants Spd/Def+2 during combat.",60,
,Spd/Def Solo 2,"If unit is not adjacent to an ally, grants Spd/Def+4 during combat.",120,
,Spd/Def Solo 3,"If unit is not adjacent to an ally, grants Spd/Def+6 during combat.",240,
,Spd/Def Tempo 1,"Inflicts Spd/Def-1 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",60,
,Spd/Def Tempo 2,"Inflicts Spd/Def-2 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",120,
,Spd/Def Tempo 3,"Inflicts Spd/Def-3 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",240,
,Spd/Res 1,Grants Spd/Res+1.,80,
,Spd/Res 2,Grants Spd/Res+2.,160,
,Spd/Res Bond 1,"If unit is adjacent to an ally, grants Spd/Res+3 during combat.",60,
,Spd/Res Bond 2,"If unit is adjacent to an ally, grants Spd/Res+4 during combat.",120,
,Spd/Res Bond 3,"If unit is adjacent to an ally, grants Spd/Res+5 during combat.",240,
,Spd/Res Catch 1,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Spd/Res+3 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60,
,Spd/Res Catch 2,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Spd/Res+4 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120,
,Spd/Res Catch 3,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Spd/Res+5 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240,
,Spd/Res Finish 1,"If unit is within 3 spaces of an ally, grants Spd/Res+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60,
,Spd/Res Finish 2,"If unit is within 3 spaces of an ally, grants Spd/Res+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120,
,Spd/Res Finish 3,"If unit is within 3 spaces of an ally, grants Spd/Res+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240,
,Spd/Res Form 1,"If unit is within 2 spaces of an ally, grants Spd/Res+X to unit during combat (X = number of allies within 2 spaces; max 3).",60,
,Spd/Res Form 2,"If unit is within 2 spaces of an ally, grants Spd/Res+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120,
,Spd/Res Form 3,"If unit is within 2 spaces of an ally, grants Spd/Res+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240,
,Spd/Res Ideal 1,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Spd/Res+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Spd/Res Ideal 2,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Spd/Res+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Spd/Res Ideal 3,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Spd/Res+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Spd/Res Oath 1,"At start of turn, if unit is adjacent to an ally, grants Spd/Res+3 to unit for 1 turn.",60,
,Spd/Res Oath 2,"At start of turn, if unit is adjacent to an ally, grants Spd/Res+4 to unit for 1 turn.",120,
,Spd/Res Oath 3,"At start of turn, if unit is adjacent to an ally, grants Spd/Res+5 to unit for 1 turn.",240,
,Spd/Res Solo 1,"If unit is not adjacent to an ally, grants Spd/Res+2 during combat.",60,
,Spd/Res Solo 2,"If unit is not adjacent to an ally, grants Spd/Res+4 during combat.",120,
,Spd/Res Solo 3,"If unit is not adjacent to an ally, grants Spd/Res+6 during combat.",240,
,Spd/Res Tempo 1,"Inflicts Spd/Res-1 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",60,
,Spd/Res Tempo 2,"Inflicts Spd/Res-2 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",120,
,Spd/Res Tempo 3,"Inflicts Spd/Res-3 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",240,
,Special Fighter 1,"At start of combat, if unit's HP ≥ 90%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",60,
,Special Fighter 2,"At start of combat, if unit's HP ≥ 70%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",120,
,Special Fighter 3,"At start of combat, if unit's HP ≥ 50%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",240,
,Speed +1,Grants Spd+1.,30,
,Speed +2,Grants Spd+2.,60,
,Speed +3,Grants Spd+3.,120,
,Spur Atk 1,Grants Atk+2 to adjacent allies during combat.,50,
,Spur Atk 2,Grants Atk+3 to adjacent allies during combat.,100,
,Spur Atk 3,Grants Atk+4 to adjacent allies during combat.,200,
,Spur Atk/Def 1,Grants Atk/Def+2 to adjacent allies during combat.,120,
,Spur Atk/Def 2,Grants Atk/Def+3 to adjacent allies during combat.,240,
,Spur Atk/Res 1,Grants Atk/Res+2 to adjacent allies during combat.,120,
,Spur Atk/Res 2,Grants Atk/Res+3 to adjacent allies during combat.,240,
,Spur Atk/Spd 1,Grants Atk/Spd+2 to adjacent allies during combat.,120,
,Spur Atk/Spd 2,Grants Atk/Spd+3 to adjacent allies during combat.,240,
,Spur Def 1,Grants Def+2 to adjacent allies during combat.,50,
,Spur Def 2,Grants Def+3 to adjacent allies during combat.,100,
,Spur Def 3,Grants Def+4 to adjacent allies during combat.,200,
,Spur Def/Res 1,Grants Def/Res +2 to adjacent allies during combat.,120,
,Spur Def/Res 2,Grants Def/Res +3 to adjacent allies during combat.,240,
,Spur Res 1,Grants Res+2 to adjacent allies during combat.,50,
,Spur Res 2,Grants Res+3 to adjacent allies during combat.,100,
,Spur Res 3,Grants Res+4 to adjacent allies during combat.,200,
,Spur Spd 1,Grants Spd+2 to adjacent allies during combat.,50,
,Spur Spd 2,Grants Spd+3 to adjacent allies during combat.,100,
,Spur Spd 3,Grants Spd+4 to adjacent allies during combat.,200,
,Spur Spd/Def 1,Grants Spd/Def+2 to adjacent allies during combat.,120,
,Spur Spd/Def 2,Grants Spd/Def+3 to adjacent allies during combat.,240,
,Spur Spd/Res 1,Grants Spd/Res+2 to adjacent allies during combat.,120,
,Spur Spd/Res 2,Grants Spd/Res+3 to adjacent allies during combat.,240,
,Squad Ace A 1,Grants HP+3.,40,
,Squad Ace A 2,Grants HP+4.,80,
,Squad Ace A 3,Grants HP+5.,160,
,Squad Ace AA 1,Grants Def+1.,30,
,Squad Ace AA 2,Grants Def+2.,60,
,Squad Ace AA 3,Grants Def+3.,120,
,Squad Ace AB 1,Grants Res+1.,30,
,Squad Ace AB 2,Grants Res+2.,60,
,Squad Ace AB 3,Grants Res+3.,120,
,Squad Ace AC 1,Grants Spd+1.,30,
,Squad Ace AC 2,Grants Spd+2.,60,
,Squad Ace AC 3,Grants Spd+3.,120,
,Squad Ace AD 1,Grants Atk+1.,30,
,Squad Ace AD 2,Grants Atk+2.,60,
,Squad Ace AD 3,Grants Atk+3.,120,
,Squad Ace AE 1,"Grants HP+3, Atk+1.",100,
,Squad Ace AE 2,"Grants HP+4, Atk+2.",200,
,Squad Ace AF 1,"Grants HP+3, Spd+1.",100,
,Squad Ace AF 2,"Grants HP+4, Spd+2.",200,
,Squad Ace AG 1,"Grants HP+3, Def+1.",100,
,Squad Ace AG 2,"Grants HP+4, Def+2.",200,
,Squad Ace AH 1,"Grants HP+3, Res+1.",100,
,Squad Ace AH 2,"Grants HP+4, Res+2.",200,
,Squad Ace AI 1,Grants Atk/Spd+1.,80,
,Squad Ace AI 2,Grants Atk/Spd+2.,160,
,Squad Ace AJ 1,Grants Atk/Def+1.,80,
,Squad Ace AJ 2,Grants Atk/Def+2.,160,
,Squad Ace AK 1,Grants Atk/Res+1.,80,
,Squad Ace AK 2,Grants Atk/Res+2.,160,
,Squad Ace AL 1,Grants Spd/Def+1.,80,
,Squad Ace AL 2,Grants Spd/Def+2.,160,
,Squad Ace AM 1,Grants Spd/Res+1.,80,
,Squad Ace AM 2,Grants Spd/Res+2.,160,
,Squad Ace AN 1,Grants Def/Res+1.,80,
,Squad Ace AN 2,Grants Def/Res+2.,160,
,Squad Ace AP 1,"Grants HP+3, Spd+1.",100,
,Squad Ace AP 2,"Grants HP+4, Spd+2.",200,
,Squad Ace AQ 1,"Grants HP+3, Def+1.",100,
,Squad Ace AQ 2,"Grants HP+4, Def+2.",200,
,Squad Ace AR 1,"Grants HP+3, Res+1.",100,
,Squad Ace AR 2,"Grants HP+4, Res+2.",200,
,Squad Ace AS 1,Grants Atk/Spd+1.,80,
,Squad Ace AS 2,Grants Atk/Spd+2.,160,
,Squad Ace AT 1,Grants Atk/Def+1.,80,
,Squad Ace AT 2,Grants Atk/Def+2.,160,
,Squad Ace AU 1,Grants Atk/Res+1.,80,
,Squad Ace AU 2,Grants Atk/Res+2.,160,
,Squad Ace AV 1,Grants Spd/Def+1.,80,
,Squad Ace AV 2,Grants Spd/Def+2.,160,
,Squad Ace AW 1,Grants Spd/Res+1.,80,
,Squad Ace AW 2,Grants Spd/Res+2.,160,
,Squad Ace AX 1,Grants Def/Res+1.,80,
,Squad Ace AX 2,Grants Def/Res+2.,160,
,Squad Ace AY 1,"Grants HP+3, Atk+1.",100,
,Squad Ace AY 2,"Grants HP+4, Atk+2.",200,
,Squad Ace AZ 1,"Grants HP+3, Spd+1.",100,
,Squad Ace AZ 2,"Grants HP+4, Spd+2.",200,
,Squad Ace B 1,Grants Def+1.,30,
,Squad Ace B 2,Grants Def+2.,60,
,Squad Ace B 3,Grants Def+3.,120,
,Squad Ace BA 1,"Grants HP+3, Def+1.",100,
,Squad Ace BA 2,"Grants HP+4, Def+2.",200,
,Squad Ace BB 1,"Grants HP+3, Res+1.",100,
,Squad Ace BB 2,"Grants HP+4, Res+2.",200,
,Squad Ace BC 1,Grants Atk/Spd+1.,80,
,Squad Ace BC 2,Grants Atk/Spd+2.,160,
,Squad Ace BD 1,Grants Atk/Def+1.,80,
,Squad Ace BD 2,Grants Atk/Def+2.,160,
,Squad Ace BE 1,Grants Atk/Res+1.,80,
,Squad Ace BE 2,Grants Atk/Res+2.,160,
,Squad Ace BF 1,Grants Spd/Def+1.,80,
,Squad Ace BF 2,Grants Spd/Def+2.,160,
,Squad Ace BG 1,Grants Spd/Res+1.,80,
,Squad Ace BG 2,Grants Spd/Res+2.,160,
,Squad Ace BH 1,Grants Def/Res+1.,80,
,Squad Ace BH 2,Grants Def/Res+2.,160,
,Squad Ace BI 1,"Grants HP+3, Atk+1.",100,
,Squad Ace BI 2,"Grants HP+4, Atk+2.",200,
,Squad Ace BJ 1,"Grants HP+3, Spd+1.",100,
,Squad Ace BJ 2,"Grants HP+4, Spd+2.",200,
,Squad Ace BK 1,"Grants HP+3, Def+1.",100,
,Squad Ace BK 2,"Grants HP+4, Def+2.",200,
,Squad Ace BL 1,"Grants HP+3, Res+1.",100,
,Squad Ace BL 2,"Grants HP+4, Res+2.",200,
,Squad Ace BM 1,Grants Atk/Spd+1.,80,
,Squad Ace BM 2,Grants Atk/Spd+2.,160,
,Squad Ace BN 1,Grants Atk/Def+1.,80,
,Squad Ace BN 2,Grants Atk/Def+2.,160,
,Squad Ace BO 1,Grants Atk/Res+1.,80,
,Squad Ace BO 2,Grants Atk/Res+2.,160,
,Squad Ace BP 1,Grants Spd/Def+1.,80,
,Squad Ace BP 2,Grants Spd/Def+2.,160,
,Squad Ace BQ 1,Grants Spd/Res+1.,80,
,Squad Ace BQ 2,Grants Spd/Res+2.,160,
,Squad Ace BR 1,Grants Def/Res+1.,80,
,Squad Ace BR 2,Grants Def/Res+2.,160,
,Squad Ace BS 1,"Grants HP+3, Atk/Spd+1.",120,
,Squad Ace BS 2,"Grants HP+4, Atk/Spd+2.",180,
,Squad Ace BS 3,"Grants HP+5, Atk/Spd+3.",240,
,Squad Ace BT 1,"Grants HP+3, Atk/Def+1.",120,
,Squad Ace BT 2,"Grants HP+4, Atk/Def+2.",180,
,Squad Ace BT 3,"Grants HP+5, Atk/Def+3.",240,
,Squad Ace BU 1,"Grants HP+3, Atk/Res+1.",120,
,Squad Ace BU 2,"Grants HP+4, Atk/Res+2.",180,
,Squad Ace BU 3,"Grants HP+5, Atk/Res+3.",240,
,Squad Ace BV 1,"Grants HP+3, Spd/Def+1.",120,
,Squad Ace BV 2,"Grants HP+4, Spd/Def+2.",180,
,Squad Ace BV 3,"Grants HP+5, Spd/Def+3.",240,
,Squad Ace BW 1,"Grants HP+3, Spd/Res+1.",120,
,Squad Ace BW 2,"Grants HP+4, Spd/Res+2.",180,
,Squad Ace BW 3,"Grants HP+5, Spd/Res+3.",240,
,Squad Ace BX 1,"Grants HP+3, Def/Res+1.",120,
,Squad Ace BX 2,"Grants HP+4, Def/Res+2.",180,
,Squad Ace BX 3,"Grants HP+5, Def/Res+3.",240,
,Squad Ace BY 1,Grants Atk/Spd/Def+1.,120,
,Squad Ace BY 2,Grants Atk/Spd/Def+2.,180,
,Squad Ace BY 3,Grants Atk/Spd/Def+3.,240,
,Squad Ace BZ 1,Grants Atk/Spd/Res+1.,120,
,Squad Ace BZ 2,Grants Atk/Spd/Res+2.,180,
,Squad Ace BZ 3,Grants Atk/Spd/Res+3.,240,
,Squad Ace C 1,Grants Res+1.,30,
,Squad Ace C 2,Grants Res+2.,60,
,Squad Ace C 3,Grants Res+3.,120,
,Squad Ace CA 1,Grants Atk/Def/Res+1.,120,
,Squad Ace CA 2,Grants Atk/Def/Res+2.,180,
,Squad Ace CA 3,Grants Atk/Def/Res+3.,240,
